Class	name	compound	medium	mass	units	cheb_name	cheb_mass	mmol_per_L	dynamic
Minerals	ZnSO4 * 7 H2O + multiple	zn2	M8	10005.0	mg	zinc(2+)	65.39	153.0050466432176	0
Minerals	MnSO4 * H2O + multiple	mn2	M8	10005.0	mg	manganese(2+)	54.93805	182.1142177416199	0
Minerals	FeCl3 + multiple	fe3	M8	10003.0	mg	iron(3+)	55.845	179.12078073238428	0
Minerals	CuSO4 (anhydrous) + multiple	cu2	M8	10000.12	mg	copper(2+)	63.546	157.36820570925	0
Buffer	KH2PO4 + K2HPO4	pi	M8	20.089	g	phosphate(3-)	94.97136	211.52692769693934	0
Buffer	KH2PO4 + Pyridoxamine . 2 HCl + Thiamine HCl + K2HPO4 + H3BO3	h	M8	26.399	g	hydron	1.00794	26191.04311764589	0
Minerals	(NH4)6Mo7O24·4H2O + Na2MoO4 . 2H2O	mobd	M8	0.29000000000000004	mg	molybdate	159.9376	0.001813207150788808	1
Minerals	MgSO4 * 7 H2O + MgCl2	mg2	M8	30.386	mg	magnesium(2+)	24.305	1.2501954330384695	0
SCFAs	Acetic acid + KCH3CO2 (Potassium acetate)	ac	M8	2.6	mL	acetate	59.04402	30.0	1
Other	Hematin + Hemin	pheme	M8	1.7	mg	ferroheme b	616.487	0.002757560175640362	1
Minerals	Ammonium citrate dibasic + (NH4)6Mo7O24·4H2O	nh4	M8	1.89	g	ammonia	17.03056	110.97697315883916	1
Minerals	CaCl2 (anhydrous) + Calcium Pantothenate	ca2	M9	31.4	mg	calcium(2+)	40.078	0.7834722291531512	0
Minerals	CoCl2·6H2O + CaCl2 (anhydrous) + NiCl2 . 6H2O + MgCl2 + Pyridoxamine . 2 HCl + Thiamine HCl + KCl + NaCl + FeCl3	cl	M9	90.346	mg	chloride	35.4527	2.5483531578695	0
Minerals	NiCl2 . 6H2O + multiple	ni2	M9	10000.2	mg	nickel(2+)	58.6934	170.38031533358097	0
Minerals	Na2SeO3 (anhydrous) + Na2WO4 . 2H2O + NaCl + NaHCO3 + Na2MoO4 . 2H2O	na1	M9	11.41	µg	sodium(1+)	22.98977	0.0004963077055577329	0
Minerals	CuSO4 (anhydrous) + MnSO4 * H2O + FeSO4 . 7H2O + ZnSO4 * 7 H2O + AlK(SO4)2 (anhydrous) + K2SO4 + MgSO4 * 7 H2O	so4	M9	67.22	mg	sulfate	96.0636	0.6997447524348454	1
Minerals	KI + KCH3CO2 (Potassium acetate) + AlK(SO4)2 (anhydrous) + K2SO4 + K2HPO4 + KH2PO4 + KCl	k	M9	94.199	mg	potassium(1+)	39.0983	2.4092863372576305	0
Minerals	CoCl2·6H2O + multiple + Co(NO3)2 . 6H2O	cobalt2	M9	10001.19	mg	cobalt(2+)	58.9332	169.70383417157052	0
manual curation	multiple + ZnSO4 * 7 H2O	zn2	M9	10005.0	g	zinc(2+)	65.39	153005.04664321762	0
Minerals	MnSO4 * H2O + multiple	mn2	M9	10005.0	mg	manganese(2+)	54.93805	182.1142177416199	0
manual curation	multiple + FeCl3	fe3	M9	10003.0	g	iron(3+)	55.845	179120.78073238427	0
Minerals	CuSO4 (anhydrous) + multiple	cu2	M9	10000.12	mg	copper(2+)	63.546	157.36820570925	0
Buffer	K2HPO4 + KH2PO4	pi	M9	20.089	g	phosphate(3-)	94.97136	211.52692769693934	0
Minerals	H3BO3 + K2HPO4 + KH2PO4 + Pyridoxamine . 2 HCl + Thiamine HCl	h	M9	26.398999999999997	mg	hydron	1.00794	26.19104311764589	0
Minerals	(NH4)6Mo7O24·4H2O + Na2MoO4 . 2H2O	mobd	M9	0.29000000000000004	mg	molybdate	159.9376	0.001813207150788808	1
Minerals	MgCl2 + MgSO4 * 7 H2O	mg2	M9	30.386	g	magnesium(2+)	24.305	1250.1954330384694	0
SCFAs	Acetic acid + KCH3CO2 (Potassium acetate)	ac	M9	2.6	mL	acetate	59.04402	30.0	1
Other	Hematin + Hemin	pheme	M9	1.7	mg	ferroheme b	616.487	0.002757560175640362	1
Minerals	(NH4)6Mo7O24·4H2O + Ammonium citrate dibasic	nh4	M9	1.89	mg	ammonia	17.03056	0.11097697315883916	1
