community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	L_plantarum	L_lactis	M_glcn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_glcur_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_gln__L_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_glu__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_gly_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_glyald_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_glyb_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_glyc3p_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_glyc_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_glyclt_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_gsn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_gthox_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_gthrd_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_gua_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_h2o2_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_h2o_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_h2s_e	1.0	0.44	1	0.44
all	minimal	L_plantarum	L_lactis	M_h_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_his__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_hqn_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_hxan_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_ile__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_inost_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_k_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_lac__D_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_lac__L_e	1.0	0.0	1	0.0
all	minimal	L_plantarum	L_lactis	M_lcts_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_leu__L_e	1.0	1.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_lys__L_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_madg_e	1.0	0.0	0	0.0
all	minimal	L_plantarum	L_lactis	M_mal__L_e	1.0	0.0	0	0.0
