,rep,species,medium,OD,time,fold_change
341,0,B_animalis_subsp_lactis_BL_04,M7,0.1,12,0.0
342,0,B_animalis_subsp_lactis_BL_04,M7,0.1,18,0.0
343,0,B_animalis_subsp_lactis_BL_04,M7,0.1,24,0.0
344,0,B_animalis_subsp_lactis_BL_04,M7,0.1,48,0.0
345,0,B_animalis_subsp_lactis_BL_04,M8,0.1,8,0.0
346,0,B_animalis_subsp_lactis_BL_04,M8,0.1,12,0.0
347,0,B_animalis_subsp_lactis_BL_04,M8,0.1,18,0.0
348,0,B_animalis_subsp_lactis_BL_04,M8,0.1,24,0.0
349,0,B_animalis_subsp_lactis_BL_04,M8,0.1,48,0.0
350,0,B_animalis_subsp_lactis_BL_04,M9,0.1,8,0.0
351,0,B_animalis_subsp_lactis_BL_04,M9,0.1,12,0.0
352,0,B_animalis_subsp_lactis_BL_04,M9,0.1,18,0.0
353,0,B_animalis_subsp_lactis_BL_04,M9,0.1,24,0.0
354,0,B_animalis_subsp_lactis_BL_04,M9,0.1,48,0.0
355,0,B_animalis_subsp_lactis_BL_04,M10,0.1,8,0.0
356,0,B_animalis_subsp_lactis_BL_04,M10,0.1,12,0.0
357,0,B_animalis_subsp_lactis_BL_04,M10,0.1,18,0.0
358,0,B_animalis_subsp_lactis_BL_04,M10,0.1,24,0.0
359,0,B_animalis_subsp_lactis_BL_04,M10,0.1,48,0.0
360,0,B_animalis_subsp_lactis_BL_04,M11,0.1,8,0.0
361,0,B_animalis_subsp_lactis_BL_04,M11,0.1,12,0.0
362,0,B_animalis_subsp_lactis_BL_04,M11,0.1,18,0.0
363,0,B_animalis_subsp_lactis_BL_04,M11,0.1,24,0.0
364,0,B_animalis_subsp_lactis_BL_04,M11,0.1,48,0.0
365,0,B_animalis_subsp_lactis_BL_04,M13,0.1,8,0.0
366,0,B_animalis_subsp_lactis_BL_04,M13,0.1,12,0.0
367,0,B_animalis_subsp_lactis_BL_04,M13,0.1,18,0.0
368,0,B_animalis_subsp_lactis_BL_04,M13,0.1,24,0.0
369,0,B_animalis_subsp_lactis_BL_04,M13,0.1,48,0.0
370,0,B_animalis_subsp_lactis_BL_04,M14,0.1,8,0.0
